id,translate,translate_description,source
5886,фиксированная точка,устойчивый пункт,AI
5887,флагман,ведущее судно корабельного соединения,AI
5888,флирт,непринужденная игра взаимного притяжения между людьми,AI
5889,служба управления полетами,система управления и контроля воздушного движения,AI
5890,флуктуация,"нерегулярные колебания, например вокруг среднего значения",AI
5891,наводнение,разрушительное наводнение с жертвами и ущербом,AI
5892,следующий год,"год, следующий за текущим",AI
5893,формальность,чистая формальность,AI
5894,грубая игра,нарушение правил,AI
5895,товарищеский матч,игра для поддержания дружеских отношений,AI
5896,мирный процесс,усилия по заключению мира,AI
5897,миротворческие силы,воинская часть для миротворческой миссии ООН,AI
5898,Фридрихсхафен,город на Боденском озере,AI
5899,плод,оболочка семени растения,AI
5900,автопарк,все транспортные средства организации,AI
5901,радиомолчание,"время, когда не ведется радиообмен",AI
5902,гусь,род гусеобразных птиц,AI
5903,садовые работы,"работы по выращиванию овощей, фруктов или цветов",AI
5904,гостеприимство,готовность дружелюбно принимать гостей,AI
5905,гостинично‑ресторанная отрасль,сфера гастрономии и отелей,AI
5906,род,вид в общем смысле,AI
5907,акушерство,раздел гинекологии о нормальных родах и их осложнениях,AI
5908,город рождения,"город, где человек родился",AI
5909,памятная дата,годовщина в память о событии или личности,AI
5910,опасная зона,территория повышенной опасности,AI
5911,бой,боевое столкновение между военными подразделениями,AI
5912,послушание,беспрекословное выполнение указаний авторитета,AI
5913,скрипка,"струнный инструмент семейства виол, настроенный G‑D‑A‑E",AI
5914,движущийся по встречке,"водитель, едущий против предписанного направления",AI
5915,возлюбленная,женский партнер в любовных отношениях,AI
5916,территория общины,земельная территория общины,AI
5917,муниципальное ведомство,коммунальный орган управления,AI
5918,общая черта,"свойство, совпадающее у двух или более объектов",AI
5919,смесь,"то, что возникает при смешении веществ",AI
5920,генеральный прокурор,"высший прокурор, которому подчиняется земельный министр юстиции",AI
5921,удовлетворение,"чувство, что сделал правильное и необходимое",AI
5922,потасовка,длительная физическая борьба,AI
5923,пустая болтовня,бессмысленная речь,AI
5924,разделение властей,"принцип разделения законодательной, исполнительной и судебной власти",AI
5925,привычка,"действие, ставшее рутиной",AI
5926,гололед,замерзшая вода на дорогах,AI
5927,гондола,"лодка, характерная для Венеции, управляемая одним веслом",AI
5928,Гослар,город в Нижней Саксонии,AI
5929,дом молитвы,здание для поклонения одному или нескольким богам,AI
5930,приграничный регион,территория возле границы,AI
5931,волна гриппа,резкий рост случаев гриппа в популяции,AI
5932,шприц,шприц для введения наркотиков в вену,AI
5933,остаток на счете,сумма денег на счете,AI
5934,Гаити,государство в Карибском море,AI
5935,полумарафон,"забег на 21,0975 км",AI
5936,хан,постоялый двор на торговых путях Юго‑Восточной Европы и Ближнего Востока,AI
5937,поворот кисти,движение поворота ладони,AI
5938,гашиш,"препарат из смолы индийской конопли, вызывающий наркотическое опьянение",AI
5939,основное судебное заседание,центральное судебное заседание,AI
5940,домашний арест,наказание с запретом покидать дом,AI
5941,жилец дома,"человек, живущий в доме",AI
5942,белуга,"крупный осетр, из икры которого делают икру",AI
5943,бюджетный план,план ожидаемых доходов и расходов,AI
5944,бюджетная блокировка,запрет расходовать утвержденные средства,AI
5945,управдом,"человек, отвечающий за обслуживание здания",AI
5946,запрет на вход,запрет входа на территорию или в помещение,AI
5947,управляющая компания,"компания, управляющая домами",AI
5948,Хафель,река на северо‑востоке Германии,AI
5949,преимущество своего поля,преимущество хозяев,AI
5950,бракосочетание,торжественное событие заключения брака,AI
5951,внутренний барьер,сомнение действовать из‑за морали или норм,AI
5952,ручка,ручка на чашке или кувшине,AI
5953,шоссе,название главных дорог в Северной Америке,AI
5954,крик о помощи,громкий призыв о помощи из беды,AI
5955,беспомощность,"состояние, когда не можешь помочь себе",AI
5956,невыгодное положение,неблагоприятная ситуация,AI
5957,историк (жен.),"женщина‑ученый, занимающаяся историей",AI
5958,экстраполяция,приближенная оценка по частичному результату,AI
5959,гостиничная индустрия,совокупность отелей и их услуг,AI
5960,домашняя курица,домашняя курица (лат. Gallus gallus gallus),AI
5961,сто тысяч,число 100 000,AI
5962,пчеловод,"человек, занимающийся медом и разведением пчел",AI
5963,вакцина,"вещество, стимулирующее выработку антител и иммунитета",AI
5964,промышленное производство,производство продукции промышленностью,AI
5965,промышленное предприятие,предприятие промышленного производства,AI
5966,информационная техника,"совокупность методов создания, обработки, передачи и хранения информации",AI
5967,информационное мероприятие,"событие для разъяснения, информирования и обсуждения темы",AI
5968,внутренний мир,психика человека,AI
5969,ремонт,восстановление объекта до исправного состояния,AI
5970,сообщество интересов,объединение людей для совместного представления интересов,AI
5971,годовой оборот,"оборот, полученный компанией за год",AI
5972,джип,внедорожный автомобиль с полным приводом,AI
5973,Йоханнесбург,крупный город в Южной Африке,AI
5974,сплошная вырубка,вырубка всех деревьев на определенном участке,AI
5975,календарный год,период с 1 января по 31 декабря,AI
5976,калибр,внутренний диаметр ствола оружия или диаметр снаряда,AI
5977,калькуляция,расчет затрат на продукты или услуги,AI
5978,Камерун,нудистский пляж,AI
5979,разгромная победа,легкая и поэтому крупная победа,AI
5980,капеллан,"духовное лицо, служащее в особом учреждении",AI
5981,универмаг,крупный магазин с широким ассортиментом,AI
5982,клин,заостренный предмет призматической формы,AI
5983,зачаток,"начало, первое проявление",AI
5984,ядерная энергия,"энергия, получаемая при ядерных реакциях",AI
5985,киллер,"человек, убивающий других, часто за плату",AI
5986,педиатр,"врач, специализирующийся на детской медицине",AI
5987,церковная площадь,площадь рядом с церковью,AI
5988,разъяснение,уточнение недоразумения,AI
5989,хлопушка,"лист бумаги, сложенный так, чтобы издавать хлопок",AI
5990,климатическая конференция,встреча специалистов по климату,AI
5991,лезвие,плоская заточенная часть инструмента,AI
5992,рыцарь,рыцарь (англ.),AI
5993,кулинарная книга,печатное издание с рецептами,AI
5994,углерод,неметаллический химический элемент с атомным номером 6,AI
5995,командир,командир соединения от батальона до дивизии,AI
5996,комиссар,женщина-уполномоченная,AI
5997,компенсация,обычно неосознанное стремление компенсировать недостаток в другой области,AI
5998,центр компетенций,центр профильной компетенции,AI
5999,конфигурация,определенное расположение объектов,AI
6000,константа,"величина, не изменяющаяся в заданном периоде",AI
6001,контракт,юридическое соглашение,AI
6002,концепция,"замысел, основная идея проекта",AI
6003,концертный зал,здание для проведения концертов,AI
6004,координация,согласование действий,AI
6005,головной убор,"предмет одежды, носимый на голове",AI
6006,корреспондент,"журналист, работающий вне редакции",AI
6007,коридор,проход внутри здания,AI
6008,косметика,меры по сохранению или улучшению красоты,AI
6009,пища,"продукты, которые употребляют в пищу",AI
6010,больничный,период отсутствия на работе по болезни,AI
6011,галстук,"узкая лента ткани, завязываемая на шее",AI
6012,творение,"то, что создано; изобретение",AI
6013,районная лига,"лига, ограниченная спортивным округом",AI
6014,круиз,путешествие на круизном судне,AI
6015,кувшин,цилиндрический сосуд для напитков,AI
6016,культурная столица,"звание, присвоенное городу или региону",AI
6017,министр культуры,глава министерства культуры,AI
6018,художественное общество,объединение для поддержки искусства,AI
6019,рост курса,повышение курса,AI
6020,курортный город,город с курортной деятельностью,AI
6021,лак,жидкое покрытие для защиты или улучшения вида,AI
6022,кража в магазине,кража товаров в розничной торговле,AI
6023,взлетно-посадочная полоса,"полоса, на которую садятся самолеты",AI
6024,земельный банк,публично-правовой банк земли,AI
6025,земельная церковь,церковная организация на уровне земли,AI
6026,земельный список,список кандидатов для земельных выборов,AI
6027,земельный музей,музей земли,AI
6028,земельный съезд,съезд делегатов партии на уровне земли,AI
6029,оборона страны,военная защита страны от внешней агрессии,AI
6030,министерство сельского хозяйства,ведомство сельского хозяйства,AI
6031,тряпка,небольшой кусок ткани или кожи,AI
6032,подиум,узкий приподнятый проход,AI
6033,лавина,"большая масса снега или льда, сходящая с гор",AI
6034,макет,композиция текста и изображений,AI
6035,обучение,обучение (англ.),AI
6036,этап жизни,временной отрезок жизни,AI
6037,Ледерер,фамилия; также кожевник,AI
6038,легитимация,подтверждение права на что-либо,AI
6039,спинка,часть сиденья для опоры,AI
6040,спорт высших достижений,интенсивные тренировки ради соревнований,AI
6041,руководящая линия,общая целевая установка,AI
6042,трактовка,вариант прочтения или толкования текста,AI
6043,Лима,столица Перу,AI
6044,литературный дом,учреждение для поддержки литературы,AI
6045,осмотр на месте,судебный осмотр на месте происшествия,AI
6046,местный герой,"известный в местности человек, особенно в спорте",AI
6047,люкс,единица освещенности,AI
6048,злоупотребление властью,использование власти во вред другим,AI
6049,памятник-мемориал,"памятник, напоминающий о трагедии",AI
6050,майское дерево,"украшенное дерево, устанавливаемое 1 мая",AI
6051,дефект,недостаток или изъян,AI
6052,клиентка,женщина-заказчик адвоката или налогового консультанта,AI
6053,манера,способ выполнения,AI
6054,мануфактура,историческое производство с ручным трудом,AI
6055,наблюдатель рынка,"человек, следящий за рынком",AI
6056,Массачусетс,штат США,AI
6057,матчбол,"розыгрыш, который может завершить матч",AI
6058,математик,"человек, профессионально занимающийся математикой",AI
6059,матура,"выпускной экзамен, дающий право на вуз",AI
6060,падение стены,падение Берлинской стены в 1989 году,AI
6061,максима,принцип или правило поведения,AI
6062,формирование мнения,процесс создания собственного мнения,AI
6063,институт общественного мнения,"учреждение, исследующее мнения населения",AI
6064,мастер,женщина-мастер,AI
6065,меланхолия,состояние глубокой грусти,AI
6066,меморандум,служебная записка по важной теме,AI
6067,здравый смысл,обычная оценка вещей человеком,AI
6068,метан,бесцветный горючий газ,AI
6069,метрополитенский регион,плотно застроенная агломерация,AI
6070,мясная лавка,предприятие по продаже мяса,AI
6071,мексиканец,гражданин Мексики,AI
6072,мимика,выражение лица,AI
6073,арендованный автомобиль,"машина, берущаяся напрокат",AI
6074,миллилитр,тысячная доля литра,AI
6075,Средиземноморье,регион вокруг Средиземного моря,AI
6076,средний слой,социальный слой между крайними,AI
6077,мобильная связь,беспроводная связь для мобильных устройств,AI
6078,монарх,глава государства в монархии,AI
6079,утренняя газета,утренний выпуск газеты,AI
6080,мозаика,изображение из мелких цветных камней,AI
6081,мусульманин,приверженец ислама,AI
6082,родной язык,"язык, усвоенный в детстве",AI
6083,день матери,день в честь матерей,AI
6084,ночная жизнь,ночные развлечения,AI
6085,Намибия,государство на юге Африки,AI
6086,шрамы,именительный падеж множественного числа существительного Narbe,AI
6087,национальный праздник,"обычно официальный праздник, отмечающий государство или нацию",AI
6088,национализм,"идеология, ставящая в центр славу, благополучие, мощь и превосходство своей нации",AI
6089,знаменатель,в обыкновенной дроби число или выражение под чертой,AI
6090,упоминание,упоминание или перечисление,AI
6091,Непал,государство в Гималаях,AI
6092,нервная система,совокупность всех нервных и глиальных клеток организма,AI
6093,чистая прибыль,прибыль после вычета затрат,AI
6094,новогодний концерт,концерт к смене года,AI
6095,новая задолженность,задолженность из-за новых кредитов,AI
6096,племянница,"дочь сестры или брата, также зятя или невестки",AI
6097,обычный случай,обычная преобладающая или наступающая ситуация либо оценка положения,AI
6098,временное убежище,временное жилье,AI
6099,Оденвальд,среднегорье в Германии,AI
6100,раскрытие,публикация или обнародование,AI
6101,пощечина,удар ладонью по лицу,AI
6102,Орегон,штат США,AI
6103,организм,живое существо как система всех его органов,AI
6104,местное отделение,"объединение на муниципальном уровне, часть иерархической структуры",AI
6105,пальма,растение из семейства пальмовых,AI
6106,однопартиец,человек из той же партии,AI
6107,город-побратим,"город, участвующий в партнерстве городов",AI
6108,прохожая,"женщина, случайно проходящая мимо",AI
6109,страсти,страдания Иисуса Христа,AI
6110,патос,страстное воодушевление или поведение,AI
6111,пенсионер,человек на пенсии,AI
6112,сокращение персонала,сокращение рабочих мест,AI
6113,приход,приходская административная единица,AI
6114,фармацевтическая промышленность,"отрасль, производящая медикаменты",AI
6115,пикник,"прием пищи на воздухе, часто группой",AI
6116,нижненемецкий,"нижненемецкий, платтдойч",AI
6117,страховой полис,документ о заключенном страховом договоре,AI
6118,полька,гражданка Польши,AI
6119,фарфор,"тонкая хрупкая керамика из каолина, полевого шпата и кварца",AI
6120,прагматизм,"философская школа, оценивающая истину по полезности",AI
6121,позорный столб,устройство для публичного позора наказанного,AI
6122,Пратер,парк в Вене,AI
6123,частный вещатель,частный радиовещательный канал,AI
6124,протагонист,главный персонаж,AI
6125,протекционизм,защита экономики от иностранной конкуренции,AI
6126,комиссия,"вознаграждение за посредничество, комиссия",AI
6127,начало процесса,начало судебного процесса,AI
6128,процессия,торжественное шествие по правилам,AI
6129,публицист,"журналист, влияющий на общественное мнение",AI
6130,путч,попытка насильственного свержения власти,AI
6131,квалификационный раунд,раунд квалификации,AI
6132,квалификация,обучение или квалификация,AI
6133,велоспорт,вид спорта на велосипеде,AI
6134,правый популист,сторонник правого популизма,AI
6135,редактор,женщина-редактор,AI
6136,срок сдачи,"время, после которого правки не принимаются",AI
6137,судья,"человек, следящий за соблюдением правил",AI
6138,докладчица,"женщина, выступающая с докладом",AI
6139,рефлекс,непроизвольное движение,AI
6140,участие в правительстве,"участие в коалиции, формирующей правительство",AI
6141,правительственный квартал,"район столицы, где находится правительство",AI
6142,региональная электричка,поезд регионального сообщения,AI
6143,региональный союз,объединение на региональном уровне,AI
6144,региональный поезд,поезд регионального сообщения,AI
6145,туроператор,"компания, организующая поездки",AI
6146,рекрутирование,набор людей на службу,AI
6147,реликт,остаток прошлого,AI
6148,гонщик,"спортсмен, участвующий в гонках",AI
6149,пенсионная касса,страховой фонд пенсий,AI
6150,реванш,возмездие за поражение,AI
6151,ресепшен,"зона приема в отеле, стойка и персонал",AI
6152,Рейнхессен,регион в Рейнланд-Пфальце,AI
6153,правильность,состояние быть правильным,AI
6154,гигантский слалом,лыжная дисциплина с широко расставленными воротами,AI
6155,рок-группа,"группа, играющая рок",AI
6156,пользователь коляски,"человек, передвигающийся на коляске",AI
6157,розовый понедельник,"понедельник перед пепельной средой, пик карнавала",AI
6158,красный карандаш,"карандаш, пишущий красным",AI
6159,стая,группа животных,AI
6160,Рудольф,фамилия или имя,AI
6161,руины,разрушенное строение,AI
6162,обзор,обзор; новостной журнал,AI
6163,русская,женщина — гражданка России,AI
6164,гол сезона,"гол, забитый в сезоне",AI
6165,цель сезона,цель на сезон,AI
6166,зальцбурженка,жительница земли Зальцбург,AI
6167,песчаный пляж,пляж из песка,AI
6168,Сардиния,остров Италии,AI
6169,спутник,искусственное тело на орбите,AI
6170,ход,разрешенное перемещение фигуры в шахматах,AI
6171,пена,газовые пузырьки в жидкости,AI
6172,железнодорожная сеть,совокупность рельсовых линий,AI
6173,шланг,гибкая трубка для подачи веществ,AI
6174,вывод,логическое заключение,AI
6175,дымоход,канал для вывода дыма,AI
6176,шлагбаум,заграждение,AI
6177,обувь,вид или набор обуви,AI
6178,начало учебы,"время, когда школа официально начинается",AI
6179,учебный день,"день, когда идут занятия",AI
6180,обучение,мероприятие по обучению,AI
6181,школьный центр,комплекс школ,AI
6182,убежище,место для защиты при опасности,AI
6183,брат супруга,брат мужа или жены,AI
6184,Швайгер,фамилия,AI
6185,чума свиней,заразная болезнь свиней,AI
6186,гравитация,сила притяжения,AI
6187,размах,широкий замах,AI
6188,парус,ткань для движения судна ветром,AI
6189,канатчик,"мастер, изготавливающий канаты",AI
6190,укол,косвенный удар или укол,AI
6191,самопомощь,помощь собственными силами,AI
6192,самоубийство,умышленное лишение себя жизни,AI
6193,самоуправление,самостоятельное управление,AI
6194,дальность видимости,расстояние видимости,AI
6195,серия побед,ряд побед,AI
6196,триумфальное шествие,цепь побед,AI
6197,симулятор,установка для моделирования,AI
6198,символ,образное представление идеи,AI
6199,скептик,"человек, склонный сомневаться",AI
6200,снег,снег (англ.),AI
6201,цоколь,основание или блок,AI
6202,срочная помощь,помощь сразу после бедствия,AI
6203,солнечная установка,система на солнечной энергии,AI
6204,летний сезон,основной сезон теплых месяцев,AI
6205,летний день,день летом,AI
6206,летний отпуск,отпуск летом,AI
6207,спеццена,цена ниже обычной,AI
6208,песенник,автор песен,AI
6209,солнечная энергия,энергия солнечного излучения,AI
6210,проблемный ребенок,"ребенок, доставляющий много забот",AI
6211,опека,право принимать решения за детей,AI
6212,поле напряжения,область столкновения противоположных сил,AI
6213,программа экономии,план по снижению расходов,AI
6214,пустые страницы,пустые страницы в печатной форме,AI
6215,копье,оружие для метания и колющих ударов,AI
6216,мяч,мяч для игры,AI
6217,начало игры,момент старта игры,AI
6218,играющий тренер,"спортсмен, совмещающий роль тренера",AI
6219,удовольствие от игры,радость игры,AI
6220,ход игры,динамика игры,AI
6221,спорт высших достижений,спорт на высшем уровне,AI
6222,прозвище,неформальное имя,AI
6223,спортивный комплекс,сооружения для спорта,AI
6224,ролик,короткая вставка на радио/ТВ,AI
6225,взрывное устройство,заряд взрывчатки для разрушения,AI
6226,пословица,народное изречение,AI
6227,гостелевидение,"телевидение, контролируемое государством",AI
6228,территория государства,территория государства,AI
6229,жезл,длинный цилиндрический предмет,AI
6230,градостроительство,планирование развития города,AI
6231,городской транспорт,перевозки в городе,AI
6232,квартал,часть города,AI
6233,штаб-квартира,место основания и главный офис,AI
6234,стопка,упорядоченная куча,AI
6235,место для хранения,пространство для размещения вещей,AI
6235,место для хранения,пространство для хранения вещей,AI
6236,водохранилище,"озеро, созданное дамбой",AI
6236,водохранилище,"озеро, созданное плотиной для накопления воды",AI
6237,стейк,кусок мяса для жарки или гриля,AI
6237,стейк,кусок мяса для жарки или гриля,AI
6238,надзиратель,надсмотрщик в шахте,AI
6238,горный мастер,надсмотрщик в горном деле,AI
6239,ибекс,горный козел с длинными рогами,AI
6239,горный козел,высокогорное животное с длинными загнутыми рогами (ибекс),AI
6240,эвтаназия,помощь в облегчении умирания,AI
6240,помощь при умирании,"процедура, облегчающая умирание человека",AI
6241,звездное небо,ночное небо со звездами,AI
6241,звездное небо,ночное небо с видимыми звездами,AI
6242,азот,химический элемент,AI
6242,азот,"химический элемент, важная часть аминокислот",AI
6243,закрытие,прекращение работы,AI
6243,консервация,прекращение работы учреждения или установки,AI
6244,подкос,наклонная опора,AI
6244,подкос,наклонная опора для укрепления,AI
6245,предмет спора,спорная тема или пункт,AI
6246,структурные изменения,изменение структуры,AI
6247,поисковая система,программа для поиска документов или файлов,AI
6248,симпозиум,научная встреча или конференция по теме,AI
6249,сценическая декорация,"декорация, созданная для пьесы",AI
6250,карманные деньги,деньги для свободного распоряжения,AI
6251,порыв к действию,желание быть активным и что‑то делать,AI
6252,ход событий,точная последовательность преступления,AI
6253,командная работа,работа в команде,AI
6254,техно,электронная музыка,AI
6255,плюшевый мишка,"мягкая игрушка, обычно медведь",AI
6256,число участников,количество участников события,AI
6257,телескоп,оптический прибор для наблюдения далеких объектов,AI
6258,теология,учение о религии и Боге,AI
6259,наследник трона,"человек, следующий за троном",AI
6260,тик,непроизвольное мышечное сокращение,AI
6261,подземное строительство,строительство объектов на уровне и ниже земли,AI
6262,осадка,разница между поверхностью воды и нижней точкой судна,AI
6263,защита титула,процесс защиты титула,AI
6264,традиционный клуб,клуб с длительной историей,AI
6265,скамейка тренера,место для тренера и штаба,AI
6266,триатлон,"соревнование по плаванию, велогонке и бегу за один день",AI
6267,Триест,город в Италии,AI
6268,трилогия,произведение из трех самостоятельных частей,AI
6269,чех,гражданин Чехии,AI
6270,цунами,"сейсмическая морская волна, вызванная подводными землетрясениями",AI
6271,добродетель,высоко ценимое качество человека,AI
6272,опухоль,разрастание тканей,AI
6273,победа в турнире,"победа, одержанная на турнире",AI
6274,Уганда,государство в Восточной Африке,AI
6275,объездная дорога,дорога для объезда,AI
6276,обход,объезд или обход препятствия,AI
6277,орбита,"траектория тела, вращающегося вокруг другого",AI
6278,переселение,добровольная или вынужденная смена места жительства,AI
6279,Федеральное агентство по охране окружающей среды,федеральный орган по экологии,AI
6280,недомогание,неопределенное чувство дискомфорта,AI
6281,разногласие,отсутствие согласия по вопросу,AI
6282,венгр,гражданин Венгрии,AI
6283,дисбаланс,отсутствие равновесия,AI
6284,беда,ужасное событие,AI
6285,единица,единица,AI
6286,мусор,"вещи, непригодные к использованию",AI
6287,пресс‑секретарь компании,спикер компании,AI
6288,следственная комиссия,группа экспертов для расследования,AI
6289,подзаголовок,второй заголовок под основным,AI
6290,подчинение,действие сдачи кому‑то; принятие власти,AI
6291,подписант,"человек, подписывающий документ",AI
6292,утопия,"желаемый образ будущего, недостижимый в реальности",AI
6293,Утрехт,город в Нидерландах,AI
6294,ваниль,растение семейства орхидей,AI
6295,отечество,страна происхождения,AI
6296,фиалка,небольшой ароматный цветок рода Viola,AI
6297,презрение,состояние пренебрежения или отвращения,AI
6298,предрасположенность,склонность или врожденная особенность,AI
6299,объединенная община,территориальная единица из нескольких общин,AI
6300,судья конституционного суда,"судья, работающий в конституционном суде",AI
6301,сторонник,"человек или организация, поддерживающая дело",AI
6302,отравление,вред от принятия яда,AI
6303,торговый зал,помещение для продажи товаров,AI
6304,интенсивность движения,плотность или объем трафика,AI
6305,дорожная обстановка,текущая ситуация в движении,AI
6306,транспортное предприятие,"компания, осуществляющая перевозки",AI
6307,клевета,очернение ложными заявлениями,AI
6308,передышка,короткий отдых,AI
6309,расточительство,ненужный расход,AI
6310,оборонная политика,политические меры по защите страны,AI
6311,высший административный суд,верховный административный суд,AI
6312,родство,факт родственных отношений,AI
6313,отказ,отказ от желаемого,AI
6314,осуществление,воплощение в реальность,AI
6315,народная инициатива,инструмент внесения закона в парламент,AI
6316,народная речь,"разговорная, народная речь",AI
6317,народная музыка,традиционная музыка и песни народов,AI
6318,волейбольный мяч,мяч для игры в волейбол,AI
6319,прямое попадание,попадание точно в цель,AI
6320,профилактика,"предотвращающие меры, особенно болезней",AI
6321,уровень прошлого года,уровень предыдущего года,AI
6322,значение прошлого года,показатель прошлого года,AI
6323,умысел,намеренное совершение,AI
6324,предписание,обязательная инструкция,AI
6325,предупреждение,заранее сообщенная угроза,AI
6326,вооруженное насилие,насильственное применение оружия,AI
6327,поражение на выборах,проигрыш на выборах,AI
6328,победитель выборов,"тот, кто победил",AI
6329,сохранение,поддержание в целости,AI
6330,лист ожидания,список ожидающих,AI
6331,водопад,падение воды с высоты,AI
6332,гидроэнергия,энергия движения воды,AI
6333,Водолей,знак зодиака с 21 января по 19 февраля,AI
6334,уровень воды,высота воды в реках и озерах,AI
6335,водонапорная башня,сооружение для хранения воды и давления,AI
6336,ваттовое море,приливно‑отливная зона побережья,AI
6337,первопроходец,"человек, прокладывающий путь другим",AI
6338,уход,удаление с места,AI
6339,указатель,"знак, показывающий путь",AI
6340,рождественский праздник,25 или 26 декабря,AI
6341,виноградарство,выращивание лозы для вина,AI
6342,дальновидность,широкий взгляд и предвидение,AI
6343,дальнозоркость,свободный взгляд на большое расстояние,AI
6344,первая в мировом рейтинге,спортсменка №1 в рейтинге,AI
6345,конкурентное преимущество,преимущество над соперниками,AI
6346,соперничество,соревнование между сторонами,AI
6347,враг,"человек, активно противостоящий",AI
6348,перерождение,начало новой жизни после смерти,AI
6349,колыбель,"кроватка для младенца, которую качают",AI
6350,викинг,представитель северного германского племени,AI
6351,дикое место,территория обитания диких животных,AI
6352,спячка,состояние зимнего сна животных,AI
6353,спортсмен‑зимник,спортсмен зимних видов,AI
6354,экономическая мощь,производительная сила экономики,AI
6355,экономический регион,территория с общими экономическими связями,AI
6356,жилой квартал,часть города с жильем,AI
6357,деревянная клюшка,клюшка с деревянной головой,AI
6358,Вормс,город в Рейнланд‑Пфальце,AI
6359,дословный текст,точная форма высказывания,AI
6360,юань,валюта КНР,AI
6361,платежное средство,"то, чем можно платить",AI
6362,художник,"человек, рисующий изображения",AI
6363,указательный палец,второй палец руки между большим и средним,AI
6364,промежуток времени,определенный отрезок времени,AI
6365,скипетр,символ власти монарха,AI
