id,translate,translate_description,source
7276,flash,short flash; short effect,AI
7277,folk music,folk music,AI
7278,research work,work with the goal of investigating something,AI
7279,research institute,institute that conducts research,AI
7280,research center,scientific center where researchers of different fields cooperate,AI
7281,continuation,continuing or being continued,AI
7282,group meeting,meeting of a parliamentary group,AI
7283,cheekiness,impudent manner or being cheeky,AI
7284,open air museum,institution with buildings or objects open to the public,AI
7285,peace movement,group or organization working to prevent and end wars and abolish nuclear weapons,AI
7286,frog,tailless amphibian with long hind legs that croaks,AI
7287,fertility,ability to reproduce; being productive,AI
7288,carter,man who drives a wagon,AI
7289,gag,comic funny insert,AI
7290,fee,remuneration that artists receive,AI
7291,gas cylinder,steel container for transport and storage of gases,AI
7292,used car,used automobile for sale,AI
7293,date of birth,date when someone was born,AI
7294,counterweight,weight on the other side of a scale or what balances something,AI
7295,hostage detention,official detention of persons held as hostages,AI
7296,community hall,hall available to a community,AI
7297,municipal board,leadership of a municipality,AI
7298,community center,building of a religious community used for social and admin tasks,AI
7299,major general,general rank,AI
7300,gentleman,charming man with good manners,AI
7301,geology,science of the development structure and changes of the earth and life,AI
7302,court decision,decision of a court,AI
7303,court hearing,discussion of a matter at a specific court date,AI
7304,totality,the whole or the community of a group,AI
7305,overall concept,overarching concept,AI
7306,total sum,result of adding all subtotals,AI
7307,total revenue,sum of all sales,AI
7308,stink,unpleasant bad smell,AI
7309,gestures,totality of gestures expressing an inner attitude,AI
7310,union federation,federation of individual unions,AI
7311,weighting,evaluation of factors in a model by importance or reliability,AI
7312,glass pane,pane made of glass,AI
7313,equal treatment,same kind of treatment of different persons or groups,AI
7314,goal,goal in football,AI
7315,golfer,athlete who plays golf,AI
7316,indicator,criterion or scale for how much something is present,AI
7317,basic training,fundamental training and skills,AI
7318,basic equipment,necessary equipment to use something,AI
7319,basic attitude,fundamental attitude,AI
7320,basic idea,idea used as starting point for further thoughts,AI
7321,prerequisite,important condition forming the basis,AI
7322,group winner,person or team that wins a group,AI
7323,swastika,originally religious symbol a cross with bent arms,AI
7324,female Hamburger,female person born or living in Hamburg,AI
7325,trade minister,minister for trade,AI
7326,handle,device that allows gripping an object with the hand,AI
7327,room for maneuver,options available to act,AI
7328,hardliner,person pushing a political goal against any resistance,AI
7329,hat trick,three consecutive wins by the same athlete,AI
7330,housework,tasks that arise in a household,AI
7331,criminal trespass,unlawful entry into another persons property or home and violation of house rights,AI
7332,budget deficit,loss in the budget,AI
7333,head of household,person who makes decisions in a family,AI
7334,saint,male or general person venerated as holy,AI
7335,home community,community of ones home,AI
7336,home market,domestic sales market,AI
7337,return home,returning to the homeland,AI
7338,home right,right to a home or residence,AI
7339,homesickness,longing for home,AI
7340,hepatitis,inflammation of the liver,AI
7341,Herzegovina,region in the Balkans,AI
7342,heart attack,myocardial infarction,AI
7343,hay,dried grass especially the first cut,AI
7344,assistance,supporting measure,AI
7345,female survivor,female relative of a deceased person,AI
7346,derision,humiliating biting mockery,AI
7347,Honduras,state in Central America,AI
7348,fee,remuneration for a specific service,AI
7349,hotel owner,owner or manager of a hotel,AI
7350,hotline,customer phone line for information and advice,AI
7351,mortgage,lien on property registered in the land register,AI
7352,hypothesis,unproven scientific assumption,AI
7353,ignorance,self caused ignorance or narrow mindedness,AI
7354,real estate agent,broker for property sales or rentals,AI
7355,claiming,using a legal right; claim to redress,AI
7356,Indian,person from India,AI
7357,individual traffic,private participation in traffic on foot or with own vehicle,AI
7358,info stand,stand for information,AI
7359,female initiator,female person who initiates something,AI
7360,interior committee,committee for internal affairs,AI
7361,inscription,text displayed on a base such as a memorial stone,AI
7362,insect,arthropod with six legs in adult stage,AI
7363,archipelago,group of neighboring islands,AI
7364,advertisement,ad in a newspaper or magazine,AI
7365,intendancy,office of the intendant,AI
7366,interface,connection point between units for communication,AI
7367,Iraqi,citizen of Iraq,AI
7368,wrong path,wrong path that leads astray,AI
7369,isolation,process of isolating or separating,AI
7370,yacht,fast sailing or motor boat,AI
7371,one year period,period limited to one year,AI
7372,annual salary,salary per year,AI
7373,annual statement,accounting of the year,AI
7374,sherry,aromatic liqueur wine from southern Spain,AI
7375,job search,search for employment,AI
7376,jogger,person who jogs,AI
7377,Johanniter,member of the Order of St John,AI
7378,Judaism,totality of culture history religion and tradition of the Jewish people,AI
7379,youth group,group of youths,AI
7380,young star,young person who is publicly known,AI
7381,coffee machine,usually electric kitchen appliance for coffee,AI
7382,cesarean,delivery by surgical opening of the uterus,AI
7383,Kaliningrad,city or region in Russia,AI
7384,Kalle,male first name,AI
7385,camaraderie,friendly relationship without sexual claims,AI
7386,female Canadian,female citizen of Canada,AI
7387,canister,sealable often rectangular container for liquids,AI
7388,cantonal hospital,facility run by a canton to treat patients,AI
7389,capsule,small usually round or oval container,AI
7390,Cape Town,city in South Africa,AI
7391,carp,fish of genus Cyprinus especially Cyprinus carpio,AI
7392,carousel,fairground ride with rotating platform,AI
7393,indicator number,number that shows states and developments,AI
7394,notch,wedge shaped indentation,AI
7395,nuclear power,production of energy from the atomic nucleus,AI
7396,nuclear power plant,power plant generating electricity from nuclear energy,AI
7397,kerosene,fuel for jet engines and aircraft,AI
7398,keyboard,electronic musical instrument with keys,AI
7399,kilowatt,one thousand watts,AI
7400,childrens village,homes founded to care for orphaned children,AI
7401,childrens program,program content aimed at children,AI
7402,cinema hall,room where cinema films are shown,AI
7403,church district,association of neighboring parishes,AI
7404,church music,music intended for worship,AI
7405,Kirchner,family name or church official,AI
7406,Knesset,parliament of Israel,AI
7407,knack,act of pinching someone,AI
7408,comet,small celestial body on an elliptical orbit with a coma,AI
7409,communism,political theory opposing capitalism and advocating a planned economy,AI
7410,female composer,female artist who creates musical works,AI
7411,compost,organic matter in the final stage of decomposition,AI
7412,willingness to compromise,willingness to make compromises,AI
7413,consumer,person who consumes something,AI
7414,opponent,opponent in a competition or conflict,AI
7415,control point,place where checks are carried out,AI
7416,convention,often international multilateral agreement,AI
7417,convoy,group of vehicles moving in line at similar speed,AI
7418,group revenue,revenue generated by a corporate group,AI
7419,concertgoer,person who attends a concert,AI
7420,coordinator,person who organizes and balances ideas and conditions,AI
7421,head injury,injury to the head,AI
7422,corruption scandal,scandal triggered by corruption,AI
7423,cost item,cost aspect of a matter,AI
7424,carriage,horse drawn hired carriage,AI
7425,kris,dagger with distinctive wavy blade,AI
7426,crisis meeting,conference convened for an emergency,AI
7427,cultural heritage,cultural heritage,AI
7428,cultural history,change of socio cultural life in general,AI
7429,art form,form of artistic design,AI
7430,art history,historical development of fine art,AI
7431,art scene,cultural environment where art is produced and consumed,AI
7432,price development,development of a rate,AI
7433,course correction,change of direction of movement,AI
7434,short film,film with a duration of only a few minutes,AI
7435,lagoon,body of water separated from the sea,AI
7436,state leader,head of a state government,AI
7437,state league club,sports club in a state league,AI
7438,state executive board,executive board at state level,AI
7439,thief,someone who steals,AI
7440,Lauda,place name name of a town in Germany,AI
7441,drive,computer storage device with read write access,AI
7442,end of life,end of life,AI
7443,livelihood,basic prerequisite for life needed for living,AI
7444,delicacy,food that tastes very good,AI
7445,lederhosen,pants made of leather,AI
7446,leather jacket,jacket made of leather,AI
7447,training year,year of apprenticeship in company and vocational school,AI
7448,curriculum,plan containing learning objectives contents and didactic notes,AI
7449,glue,aqueous solution of adhesives,AI
7450,readership,totality of readers of certain publications,AI
7451,liberalization,removal of state or social restrictions,AI
7452,liberation,liberation in English,AI
7453,couple,two people in a love relationship,AI
7454,singer songwriter,singer who writes or adapts most of the music or lyrics,AI
7455,lion,lion in English,AI
7456,ski track,machine prepared trail for cross country skiing,AI
7457,local politician,politician active in municipal politics,AI
7458,locomotive,powered unit of a train for pulling cars,AI
7459,lottery,game of chance with drawings of prizes and blanks,AI
7460,Louisiana,US state,AI
7461,lung cancer,malignant tumor of the airways in the lung,AI
7462,authoritative decision,decision made by one person that must be accepted due to authority or competence,AI
7463,magnetic field,field produced by magnets electric currents or changing electric fields,AI
7464,malaria,feverish infectious disease with recurring attacks caused by Plasmodium,AI
7465,chard,leafy spinach like cultivated beet,AI
7466,mara,rodent type of guinea pig native to South America,AI
7467,market position,position in the market,AI
7468,Moroccan,citizen of Morocco,AI
7469,insolvency administrator,administrator of an insolvency estate,AI
7470,media conglomerate,very large company in the media industry,AI
7471,media representative,representative of the media,AI
7472,medical technology,economic research field dealing with technical means in medicine,AI
7473,overtime,additional work,AI
7474,additional effort,additional effort or costs beyond normal,AI
7475,history of humanity,history of human evolution and civilization,AI
7476,methodology,research on and teaching of methods,AI
7477,metro,French term for subway especially in Paris and Moscow,AI
7478,female tenant,female person who rents something,AI
7479,rental apartment,apartment rented for a period for a fee,AI
7480,microwave,spectrum of electromagnetic waves 30 cm to 1 mm 1 to 300 GHz,AI
7481,ministry spokesperson,person who makes official announcements for a ministry,AI
7482,vote of no confidence,majority parliamentary decision that removes a government or minister,AI
7483,right to a say,right to participate in decisions and planning,AI
7484,low mountain range,mountain range under about 1500 m with rounded peaks,AI
7485,mean value,value in the middle between minimum and maximum in a series,AI
7486,mob,agitated rebellious crowd,AI
7487,mobile network,totality of technical facilities for mobile signals,AI
7488,Montana,US state,AI
7489,mora,smallest time unit of a verse foot the length of a short syllable,AI
7490,dialect,regional variety of a language,AI
7491,muscle fiber tear,tear of some muscle fibers,AI
7492,mommy,pet name for mother,AI
7493,imitator,person who imitates someone or something,AI
7494,neighborly help,help among neighbors,AI
7495,neighboring city,city in the neighborhood of another city or town,AI
7496,makeup game,game played later because it did not take place as planned,AI
7497,surname,family name placed after the given name,AI
7498,backbiting,negative statement about a person who is not present,AI
7499,obituary,oral or written tribute to a recently deceased person,AI
7500,afterthought,additional remark placed afterward,AI
7501,dessert,final course of a meal served after the main dish,AI
7502,needle,long thin tool with a point shaped for various uses,AI
7503,local supply,provision of goods and services within easy reach of consumers,AI
7504,name giver,something or someone after which something is named,AI
7505,anesthesia,medically induced controlled unconsciousness often with pain suppression and muscle relaxation,AI
7506,conservation association,association for nature conservation,AI
7507,nephew,son of a sister or brother also of a sibling in law,AI
7508,new appointment,refilling a position anew,AI
7509,novelty,state of being new and not existing before,AI
7510,neurology,medical field dealing with structure physiology and diseases of the nervous system,AI
7511,northern Europe,northern part of Europe,AI
7512,notebook,book with blank pages for notes ideas excerpts and sketches,AI
7513,amendment,changing or supplementing an existing law,AI
7514,nut,edible oily seed with a hard shell,AI
7515,upper arm,upper part of the arm from elbow to shoulder,AI
7516,higher court,higher court,AI
7517,lieutenant colonel,staff officer rank between major and colonel,AI
7518,odyssey,the journey of Odysseus,AI
7519,written offer,written offer for goods or services,AI
7520,earwig,small usually winged insect living in cracks or crevices,AI
7521,operetta,light stage work with singing dialogue and dance,AI
7522,female organizer,female person who prepares actions or processes,AI
7523,organ donation,donation of ones own organ for transplantation,AI
7524,local head,head of a municipality,AI
7525,town center,central part of a town,AI
7526,East Asia,region in East Asia,AI
7527,page,hotel page hotel servant in uniform,AI
7528,palazzo,Italian palace,AI
7529,Palermo,city in Sicily,AI
7530,paper,individual short scientific publication,AI
7531,park grounds,grounds designed as a park,AI
7532,parking deck,deck for parking cars,AI
7533,party chair,chairmanship of a party,AI
7534,party headquarters,head office of a political party,AI
7535,patent,document granting exclusive right to exploit an invention,AI
7536,patriarchy,society in which men have dominance,AI
7537,patrol,individual or group performing a specific tactical task,AI
7538,female pensioner,female person no longer employed receiving retirement benefits,AI
7539,staffing decision,decision when filling a job or office,AI
7540,local passenger transport,transport of people over short distances,AI
7541,passenger transport,all means of passenger transport,AI
7542,parsonage,building where the pastor has residence or office,AI
7543,whistle,short sound produced by whistling or signal tone,AI
7544,Pentecost Sunday,Christian holiday on Sunday of Pentecost,AI
7545,care allowance,social benefit due to increased care needs,AI
7546,phantom,something that exists only in imagination and is not real,AI
7547,pipit,ground nesting songbird of genus Anthus,AI
7548,plague,supernatural punishment,AI
7549,laceration,open injury of the skin,AI
7550,playboy,financially independent man who pursues pleasures,AI
7551,plenary session,session where all participants should be present,AI
7552,police union,organization representing police interests,AI
7553,position paper,document stating positions,AI
7554,post branch,branch of the post,AI
7555,postulate,demand,AI
7556,price war,competition over prices,AI
7557,price increase,increasing costs of a good or service,AI
7558,press agency,company that collects and prepares information for mass media,AI
7559,press report,report published in the press,AI
7560,primary school,primary school in Switzerland,AI
7561,princely couple,prince or princess as successor with spouse,AI
7562,privatization,sale or transfer of state enterprises or assets to private hands,AI
7563,professorship,office or title of a professor,AI
7564,programming,creating computer programs with programming languages,AI
7565,project developer,person or firm that develops projects,AI
7566,prose,literary genre not bound by meter rhyme or rhythm,AI
7567,prostitute,female person offering sexual acts for payment,AI
7568,crosswise,position or course that cuts across something else,AI
7569,cross section,plane cut of a body at 90 degrees to its long axis,AI
7570,receipt,confirmation of receipt or payment,AI
7571,raven,black bird species the common raven,AI
7572,rage,uncontrolled excitement,AI
7573,Ramsau,place name and mountain region,AI
7574,scuffle,small harmless fight not intended to injure,AI
7575,rap,spoken song over repeating drum and bass patterns,AI
7576,Rappen,coin unit in Upper Rhine region from 13th century,AI
7577,predator,mammal of order Carnivora that feeds on other animals,AI
7578,smoke cloud,large dense mass of smoke,AI
7579,drug,collective term for substances that cause intoxication,AI
7580,legal system,totality of measures and organizations safeguarding law,AI
7581,reference rate,reference price or rate,AI
7582,rainbow,optical phenomenon from light refraction in raindrops,AI
7583,government work,activity of a government,AI
7584,government responsibility,responsibility for government action,AI
7585,Reichstag,assembly of princes envoys or elected deputies at imperial level,AI
7586,cleaning agent,chemical substance used for cleaning,AI
7587,female rider,female person who rides a horse donkey camel and so on,AI
7588,record number,highest number so far,AI
7589,relation,relationship or ratio,AI
7590,freedom of religion,constitutional right to choose and practice religion,AI
7591,racing bike,bicycle designed for racing,AI
7592,race day,day with horse races,AI
7593,race car,vehicle designed for car racing,AI
7594,reputation,standing gained through outstanding performance,AI
7595,restructuring,reordering of structures,AI
7596,reference value,value used as a guideline,AI
7597,cattle,cloven hoofed animal species group,AI
7598,role playing,game where players take on other roles and behaviors,AI
7599,role distribution,distribution of roles,AI
7600,jerk,abrupt impulse causing a shift,AI
7601,rugby,team game with an oval leather ball,AI
7602,rune,oldest script characters of the Germanic peoples,AI
7603,slide,structure with a sloped chute to slide down,AI
7604,case worker,person handling a specific subject area,AI
7605,safari,trip through Africa to hunt or observe big game,AI
7606,saga,literary genre of Old Icelandic prose,AI
7607,season hit,score within the period of a competition,AI
7608,sport coat,mens jacket with buttons of not too soft fabric,AI
7609,salt water,water with dissolved salt,AI
7610,sauerkraut,white cabbage preserved by lactic acid fermentation,AI
7611,sheikh,head of a family or tribe,AI
7612,spotlight beam,light emitted by spotlights,AI
7613,shyness,timid reserved behavior,AI
7614,arbitration tribunal,private decision body whose ruling has effect of a court judgment,AI
7615,sleeping place,area suitable for resting in a state of outer calm,AI
7616,mud fight,play on muddy ground,AI
7617,defeat,losing in a military personal or sport conflict,AI
7618,inflatable boat,boat with inflatable hull made of hard rubber or similar plastics,AI
7619,gorge,narrow and steep cut in a valley,AI
7620,final third,closing third,AI
7621,snout,protruding mouth and nose area of animals,AI
7622,sniffing,act of inhaling a substance through the nose,AI
7623,school operation,operation of a school,AI
7624,debt level,amount of debt,AI
7625,debtor,person or organization that owes money to a creditor,AI
7626,shoulder injury,injury that affects the shoulder,AI
7627,shootout,conflict in which firearms are fired at each other,AI
7628,safety zone,area meant to provide safety for someone or something,AI
7629,swallow,agile songbird of the family Hirundinidae,AI
7630,Swedish woman,female citizen of Sweden,AI
7631,daughter in law,wife of the son or daughter,AI
7632,sailboat,sport boat powered mainly by wind,AI
7633,soap,water soluble cleaning agent for body hygiene,AI
7634,sect,small religious community split from large religious communities,AI
7635,self image,assessment someone develops of themselves,AI
7636,self doubt,uncertainty about what one does can do or wants,AI
7637,sequence,series of similar things,AI
7638,security guarantee,assurance that someone or something will remain safe in a threatening situation,AI
7639,preventive detention,detention of an offender after prison to protect the public when still dangerous,AI
7640,sieve,surface with holes for separating mixed materials also used figuratively,AI
7641,silhouette,outline that stands out dark against a background,AI
7642,symphony,large work for orchestra whose first movement is usually in sonata form,AI
7643,ski slope,part of a mountain opened for downhill skiing,AI
7644,script,written notes or transcript of a lecture,AI
7645,immediate program,program with immediate measures,AI
7646,female soldier,female member of military personnel of a country,AI
7647,special envoy,envoy for special tasks,AI
7648,special commission,working group set up for a specific task,AI
7649,sunburn,skin burn caused by the sun,AI
7650,social work,qualified help in difficult life situations,AI
7651,female social worker,qualified female helper in difficult life situations,AI
7652,female social democrat,female supporter of social democracy or member of a social democratic party,AI
7653,social partner,partner in social partnership,AI
7654,social welfare system,all institutions and measures concerning social care and provision in a society,AI
7655,spaghetti,long thin pasta usually made from durum wheat semolina,AI
7656,Sparta,ancient city in Greece,AI
7657,tinsmith,craftsman who works and produces metal objects,AI
7658,reflection,image of an object in a mirror,AI
7659,game community,grouping of people for the purpose of playing together,AI
7660,spider,small eight legged animal that often spins threads,AI
7661,spy,secret unrecognized observer who scouts the opposing side,AI
7662,sports federation,sports federation,AI
7663,language use,use of language in utterances,AI
7664,spook,unexplained or eerie threatening event,AI
7665,state council,council of a state,AI
7666,coup,violent sudden overthrow,AI
7667,state treaty,binding agreement between autonomous territorial entities,AI
7668,chief of staff,superior of a group of officers who advise him,AI
7669,city archive,municipal institution for preserving regional history and official documents,AI
7670,urban motorway,motorway located within a city,AI
7671,city district,district of a city or municipality with its own name,AI
7672,city border,territorial border of a city,AI
7673,city hall building,building in a city,AI
7674,steel plant,plant that produces steel,AI
7675,path,simple path in steep terrain,AI
7676,Stone Age,prehistoric period when humans made tools from stone not metal,AI
7677,death,archaic form of dying,AI
7678,star singers,children dressed as the Three Kings who sing and collect donations around January 6,AI
7679,observatory,place for space observations with scientific instruments,AI
7680,tax policy,political activities concerning taxes part of fiscal policy,AI
7681,boot,shoe with a shaft,AI
7682,silence,act of not speaking,AI
7683,criminal court,court for criminal cases,AI
7684,offense elements,statutory elements defining punishability,AI
7685,defense counsel,defender appointed to an accused in criminal proceedings,AI
7686,penal enforcement,execution of a final prison sentence,AI
7687,route network,totality of routes of a transport system covering an area,AI
7688,strings player,person who plays a string instrument,AI
7689,power line,electrical line carrying current,AI
7690,stube,heated living room or heated room,AI
7691,kilometers per hour,km per hour,AI
7692,mare,female animal of horses or camels,AI
7693,swamp,shallow standing water area with vegetation,AI
7694,sushi,Japanese dish of cooked rice and raw fish originally any bite sized food with vinegar rice,AI
7695,symbiosis,living together of organisms of different species for mutual benefit,AI
7696,syndrome,totality of symptoms of an illness,AI
7697,synonym,word with the same meaning as another in a specific context,AI
7698,system change,change of a system,AI
7699,agenda item,item on an agenda,AI
7700,typhoon,tropical cyclone in the northwestern Pacific,AI
7701,take,film take attempt in English,AI
7702,Tallinn,capital of Estonia,AI
7703,lower station,lowest departure station of a mountain or cable railway,AI
7704,tango,dance from South America with strong rhythm and body contact,AI
7705,fir tree,tall evergreen fir tree with upright cones,AI
7706,energy,willingness and ability to act,AI
7707,Taunus,low mountain range in Germany,AI
7708,team manager,manager of a team,AI
7709,field of participants,all persons involved in a competition,AI
7710,Terra,third planet of the solar system where humans live,AI
7711,terror act,act consisting of unrestrained violence,AI
7712,theologian,person who has studied theology,AI
7713,female therapist,female person who applies therapies,AI
7714,civil engineering office,office for civil engineering,AI
7715,ink,liquid used for writing drawing painting and calligraphy,AI
7716,Tirana,capital of Albania,AI
7717,Tyrolean woman,female inhabitant of Tyrol,AI
7718,subsidiary,legally independent but economically dependent company run by parent,AI
7719,fatal result,consequence with fatalities,AI
7720,goalkeeper,player whose task is to prevent goals,AI
7721,Toto,totalizator for placing bets,AI
7722,female tourist,female person who travels for pleasure,AI
7723,tragedy,tragic character,AI
7724,dream couple,couple seen as ideal and well matched,AI
7725,small staircase,small staircase,AI
7726,turnaround,major change in a situation such as politics economy weather or mood,AI
7727,exchange,exchange,AI
7728,environmental organization,organization that works to protect the environment,AI
7729,accident victim,person who suffered damage through an accident,AI
7730,mischief,absurd or improper condition or action,AI
7731,unique piece,document existing in only one copy,AI
7732,Union politician,politician who is a member of the Union party,AI
7733,disorder,situation characterized by lack of order,AI
7734,foundation,foundation construction of a building,AI
7735,entrepreneurship,entrepreneurial activity,AI
7736,lower leg,part of the leg between knee and foot,AI
7737,ignorance,quality of not knowing many things,AI
7738,vacuum,almost airless space,AI
7739,cyclist,bicycle rider in Swiss usage,AI
7740,valve,shutoff device for gases and liquids,AI
7741,compression,process of becoming denser,AI
7742,veneration,worship of gods,AI
7743,constitutional complaint,complaint to the federal constitutional court to enforce basic rights,AI
7744,forgiveness,act of forgiving,AI
7745,traffic calming,measures to slow or reduce motor traffic in certain areas,AI
7746,transport concept,concept for transport,AI
7747,scarcity,process in which something decreases in stock,AI
7748,deepening,intensive engagement to deepen understanding,AI
7749,confidentiality,quality of being confidential and limited to a circle,AI
7750,administrative head,head of an administration,AI
7751,interlocking,interaction of parts,AI
7752,directory,overview list of information structured in a list,AI
7753,veto right,right to veto,AI
7754,violin,string instrument with flat body and four strings tuned G D A E,AI
7755,public survey,non binding poll of eligible voters,AI
7756,completion,finishing something,AI
7757,preparation time,time for preparation,AI
7758,previous year winner,person who won in the previous year,AI
7759,board spokesperson,board member tasked with speaking for the board,AI
7760,prejudice,preconceived often false opinion not based on knowledge,AI
7761,railcar,railway car,AI
7762,freedom of choice,unaffected possibility to choose between options,AI
7763,election commission,commission for elections,AI
7764,election advertising,advertising for an election,AI
7765,forest edge,border area of a forest,AI
7766,journeyman travel,traditional wandering of craftsmen after training,AI
7767,waterworks,facility for providing drinking water,AI
7768,water management,totality of measures for managing and using water,AI
7769,move away,change of residence to another place,AI
7770,auxiliary bishop,auxiliary bishop in the church,AI
7771,worldview,system of ideas someone has about the world,AI
7772,World Cup win,win in the World Cup,AI
7773,world trip,journey around the world,AI
7774,apocalypse,end of humanity earth or universe by natural artificial or divine means,AI
7775,World Economic Forum,forum for world economy WEF,AI
7776,Westerwald,German low mountain range bounded by Rhine Sieg Lahn and Dill,AI
7777,western Switzerland,western part of Switzerland,AI
7778,west side,western side,AI
7779,whiskey,whisky made in Ireland or America from rye or corn,AI
7780,revocation,declaration that something should be invalid,AI
7781,wildlife park,park with wild animals,AI
7782,wild animal,animal living in the wild not accustomed to humans,AI
7783,great speed,very fast speed,AI
7784,wind turbine,wind turbine producing usable mechanical energy,AI
7785,cold snap,sudden onset of cold temperatures snow and ice,AI
7786,winter semester,winter half of an academic year,AI
7787,cyclone,storm system with a vertical axis of rotation,AI
7788,hostess,female person who hosts guests,AI
7789,housing company,company with apartments,AI
7790,compilation of numbers,worked out collection of numbers and values,AI
7791,payment transactions,total movement of means of payment within a country,AI
7792,time frame,given time frame,AI
7793,newspaper report,report with detailed information in a newspaper,AI
7794,final straight,last section of a race track before the finish,AI
7795,interest level,level of interest rates,AI
7796,compilation,arrangement of selected items,AI
7797,immigrant,person who moves long term to another place in the same country,AI
7798,twin brother,male person whose sibling was carried at the same time,AI
7799,cylinder,geometric solid with a circular base and a congruent top,AI
7800,dismissal,"removal of a person from office, function, or activity",AI
7801,tray,open container or place to put things (usually paper),AI
7802,agreement,verbal or written agreement that is binding,AI
7803,secondment,sending a group of people in the employer's interest,AI
7804,depreciation,reduction of book value due to wear or uncollectibility,AI
7805,descent,origin in evolutionary lineage; family origin,AI
7806,voting behavior,how someone votes,AI
7807,badge,wearable copy of a sign or symbol,AI
7808,Aden,city in Yemen,AI
7809,admiral,naval rank,AI
7810,joint-stock company,corporation whose capital is divided into shares,AI
7811,acoustics,study of sound and tones,AI
7812,alcoholic,person dependent on alcohol,AI
7813,Allah,God in Islam,AI
7814,Alpine area,regions in and around the Alps,AI
7815,old-age provision,comprehensive provision for people in retirement,AI
7816,old master,long-recognized master of a craft or art,AI
7817,ambivalence,double meaning; inner conflict,AI
7818,ant,social insect of the family Formicidae,AI
7819,Amman,capital of Jordan,AI
7820,abuse of office,misuse of the power of office,AI
7821,hint,"indirect, vague hint",AI
7822,Andorra,small state between France and Spain,AI
7823,contestation,request to reconsider an unfair decision,AI
7824,pivot point,point around which a body can rotate,AI
7825,Angola,state in southwest Africa,AI
7826,crediting,offset or crediting of a performance or period,AI
7827,entitlement,right to acquire or claim something,AI
7828,form of address,designation used to address people,AI
7829,collection,a quantity of unspecified number,AI
7830,incitement,inducing someone to commit a crime or bad act,AI
7831,anti-fascism,political opposition to fascism and developments toward it,AI
7832,attraction,place or event that arouses interest,AI
7833,apartheid,former racial segregation in South Africa,AI
7834,employee representative,person representing the interests of all employees,AI
7835,work permit,official permit for a foreigner to seek and take paid work,AI
7836,employment service,service for job placement,AI
7837,labor minister,head of a labor ministry,AI
7838,dashboard,panel with gauges and controls in a vehicle or machine,AI
7839,performer,"performing artist, mainly in variety or circus",AI
7840,nuclear facility,"technical facility of nuclear research, industry or armament",AI
7841,nuclear power,state possessing ready-to-use nuclear weapons,AI
7842,atrium,square inner room of a Roman house with an opening in the ceiling,AI
7843,Attersee,lake in Austria,AI
7844,medical certificate,doctor's certificate or health certificate,AI
7845,audience,formal reception by a high-ranking person or celebrity,AI
7846,audience,group of listeners,AI
7847,print,something printed on fabric or paper,AI
7848,residence permit,official permit to stay in a country for a limited time,AI
7849,staff room,room in a company or authority where staff may stay,AI
7850,essay,short written composition,AI
7851,supervisory board chair,person who chairs the supervisory board,AI
7852,awarding of contracts,award of orders,AI
7853,apprenticeship position,training position for a person receiving vocational training,AI
7854,curfew,official prohibition on leaving home within a set time,AI
7855,balance,"balance, equilibrium",AI
7856,display,"presentation of goods, e.g., in shop windows or markets",AI
7857,exercise run,free movement for someone or something,AI
7858,discontinued model,product still available but outdated,AI
7859,exploitation,use of something for one's benefit,AI
7860,exhibition room,room in a building where exhibitions are held,AI
7861,automotive group,very large company in the automotive sector,AI
7862,automation,production of goods that runs largely on its own,AI
7863,avenue,street leading to a particular place,AI
7864,bakery workshop,room where bakery and confectionery products are made,AI
7865,bathing resort,place at a lake or sea whose main income is bathing tourism,AI
7866,ballad,long poem often with a tragic ending,AI
7867,ballast,material or component that stabilizes an object and is heavy for its size,AI
7868,rally,alternating play of the ball in racket sports,AI
7869,bank branch,branch office of a bank,AI
7870,mercy,the quality of being merciful,AI
7871,baseball,team sport with a bat and ball,AI
7872,farmhouse,house used and inhabited by farmers,AI
7873,Bauhaus,design and architecture movement,AI
7874,construction industry,companies producing structures and related services and products,AI
7875,tree trunk,connection between roots and crown of a tree,AI
7876,wadding,formless soft wool-like mass,AI
7877,construction rubble,waste produced at a construction site or demolition,AI
7878,construction halt,interruption of construction activity,AI
7879,construction contractor,operator or owner of a construction company,AI
7880,case of need,situation in which something is needed,AI
7881,time to think,period to reflect,AI
7882,talent,innate above-average ability,AI
7883,lust,passionate desire,AI
7884,circle of acquaintances,set of people one knows at some distance,AI
7885,consulting firm,firm that provides advice,AI
7886,department head,head of a department or responsibility area,AI
7887,on-call duty,time an employee must be on standby,AI
7888,mountaineering,mountain hiking or alpine climbing in high regions,AI
7889,vocational education,training for a profession,AI
7890,occupying power,state whose troops occupy an area,AI
7891,gift-giving,distribution of Christmas gifts on Christmas Eve,AI
7892,corruptibility,morally reprehensible character trait,AI
7893,endeavor,serious effort to reach a goal,AI
7894,number of visitors,number of people who visited,AI
7895,subject,subject of a document or email,AI
7896,staff meeting,assembly of the workforce,AI
7897,paternalism,interference that excludes free decisions,AI
7898,favoritism,preferential treatment,AI
7899,evidence material,objects and records that clarify a case,AI
7900,female applicant,female person who applies,AI
7901,application deadline,period during which applications are possible,AI
7902,hospitality,providing guests with food and drink,AI
7903,recipient,person who receives something,AI
7904,bee,hairy flying insect of the order Hymenoptera,AI
7905,beer bottle,bottle for storing beer,AI
7906,beer tent,tent at festivals where beer is served,AI
7907,visual language,effect produced by an artist's images,AI
7908,approval,approving attitude; consent,AI
